id,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm)
404,23.5,7.6,7.6,3688
405,22.4,7.3,7.5,82
406,26.8,7.5,8,202
407,26.5,7.3,7.9,232
408,22,7.4,7.9,246
409,27.6,6.9,8.1,3960
410,26.8,7,8,28222
411,25.6,7.2,7.8,201
412,26.5,7.3,8,221
413,24,NAN,7.8,NAN
414,28,8,7.7,401
415,28,8,8.2,1886
416,28,7,8.2,742
417,27,7,6.4,149
418,27.8,6.7,7.5,1088
419,23.4,7.2,6.5,73
420,25.4,6.7,6.3,98
421,26.3,6.3,6.5,143
422,29,6.6,6.9,260
423,24.6,7.1,6.3,71
424,23.5,6.9,6.3,65
425,29,7.3,7.1,607
426,27,6.1,7,446
427,24,6.9,6.4,94
428,28.7,6.8,6.8,451
429,26.3,6,6.6,169
430,25.7,6.5,6.7,187
431,26.8,3.4,7.8,2577
432,NAN,NAN,NAN,NAN
433,23.3,5.5,7.2,636
434,22.8,4.7,7.3,1088
435,23.3,5.3,7.2,689
436,21.8,4.9,7.3,1267
437,24.3,5.3,7.4,852
438,23.5,4.9,7.5,977
439,24,4.4,7.4,1256
440,23.5,4.8,7.2,1021
441,23.3,5.1,7.3,971
442,22.5,4.6,7.4,1284
443,26,4,7.4,1096
444,25.8,4.4,7.3,1002
445,NAN,NAN,6.9,910
446,NAN,NAN,6.5,930
447,NAN,5,7.3,NAN
448,NAN,NAN,6.7,960
449,30.7,4.8,7.6,295
450,20.3,7.1,7.5,293
451,20.7,7.1,7.5,316
452,20.8,6.6,7.5,274
453,20.6,4.9,7.4,407
454,28,4.9,8.3,603
455,23.4,5.5,7.4,138
456,25.3,5.5,8.1,625
457,31.1,5,7.3,305
458,26.3,5.6,8.1,552
459,22,7.3,7.3,402
460,24.4,7.2,7.3,99
461,23.7,7.2,7.4,102
462,24.6,7.6,7.2,72
463,23.1,7.1,7.5,131
464,21.7,5.2,2.9,682
465,18.2,7.3,7.1,47
466,18.8,7.6,7.2,52
467,23.8,8,6.9,64
468,17.8,7.9,7.3,46
469,18.7,7.4,7.2,53
470,18.8,7.7,7.2,55
471,21.3,6.8,2.7,1074
472,22.6,7.1,6.5,237
473,25.2,7.8,7.2,50
474,24.8,7.3,7.3,71
475,19.9,7.3,7,91
476,20.7,7.4,7.1,49
477,20.6,6.5,7.1,99
478,21.5,7.5,5.7,50
479,17.7,5.8,6.9,68
480,17.9,6.9,7.2,44
481,23.9,7.8,7.3,93
482,18,6.6,7,66
483,18.4,7.6,7.1,53
484,18.8,7.8,7,47
485,24.8,7.7,7.4,128
486,19.3,7.1,7,54
487,20.6,7.4,7,69
488,20.7,7.5,7.2,58
489,18.4,3.1,7.2,401
490,19.1,4.7,7.2,202
491,19.7,2.1,7.2,303
492,20.1,1.8,7.2,394
493,17.6,7.2,6.9,55
494,22.7,7.9,7.1,55
495,17.9,6.9,6.9,52
496,18.9,1.9,7,306
497,19.4,4.5,7.1,196
498,23.7,7.2,7.1,107
499,22.7,7.5,7,82
500,23.6,7.1,7.5,189
501,23.8,7,7.6,197
502,23.5,7.2,7.9,158
503,23.5,6.5,7.8,161
504,27.4,6.6,7.7,165
505,21.9,6.7,7.8,167
506,27.5,6.6,7.7,183
507,31,7.1,7.8,151
508,28,7.2,7.4,319
509,27,6.2,8.4,894
510,30,2.2,8,1835
511,31,2,7.7,3165
512,29,2.4,7.6,1500
513,31,5.9,7.2,52
514,30,6.1,6.8,408
515,30,5.5,6.9,143
516,29,5.4,7.2,60
517,29,5.8,7.2,34
518,29,5.9,6.7,125
519,28,6.4,6.7,175
520,30,6.2,7.7,39
521,30,6.1,7.8,39
522,27,7.3,6.9,61
523,28,6.8,6.6,71
524,29,7.4,6.5,129
525,28,7,6.8,503
526,29,6.3,7.5,31
527,29,7.1,6.8,70
528,30,7.3,6.8,69
529,28,6.7,6.6,118
530,28,7.4,6.8,80
531,29,4.5,6.6,250
532,28,6.1,6.9,74
533,30,5.9,7.3,44
534,30,2.4,6.5,195
535,31,4,6.8,207
536,29,5.4,7.6,40
537,30,5.3,7.6,41
538,29,7,6.9,54
539,29,5.9,7.7,44
540,29,7.1,6.5,60
541,29,6.9,7.7,99
542,30,6.6,7.9,123
543,27,6.6,7.7,220
544,27,6.8,7.7,219
545,27,4.8,7.2,5429
546,23,6.4,8,493
547,29,6.8,7.6,100
548,29,6.7,7.5,316
549,28,5.8,7.9,37227
550,29,6.9,7.7,84
551,25,4.9,7.6,21254
552,28,6.9,7.9,312
553,29,6.8,7.5,146
554,29,6.7,7.3,127
555,29,5.6,6.9,432
556,29,6.5,7.3,126
557,30,7.1,7.5,128
558,30,6.4,7.3,129
559,29,6.9,7.7,129
560,25,7,7.9,153
561,30,6.4,7.6,10165
562,30,6.9,7.7,307
563,31,6.3,7.7,322
564,30,6.5,7.5,5835
565,30,6.3,7.4,9245
566,28,6.5,8.1,1907
567,28,7,8,1896
568,28,7,8,206
569,27,6.8,7.8,239
570,27,6.4,7.6,152
571,26,6.7,7.7,146
572,27,6.7,7.6,137
573,28,6.6,7.8,228
574,23,7,7.7,409
575,22,6.8,7.6,263
576,23,6.9,7.5,338
577,26,7,7.2,79
578,26,6.6,7,67
579,26,6.6,7.3,59
580,26,6.2,7.3,66
581,26,7.1,7,67
582,26,7,6.7,5341
583,29,6.7,7.3,89
584,28,6.2,7.3,136
585,28,7.1,8.1,212
586,29,6.3,6.3,134
587,26,7.3,7.2,76
588,26,7,7.3,11041
589,28,6.8,7.1,75
590,29,7.4,7.2,61
591,28,1.7,6.6,769
592,26,6.1,7.5,14083
593,26,6.6,7.2,92
594,25,6.6,7.2,1348
595,29,6,6.7,95
596,29,6.6,6.8,78
597,28,0.6,6.7,268
598,27,1.8,6.6,82
599,25,7.1,7.2,61
600,26,3.9,7.6,30298
601,27,6.6,8,310
602,27,7,7.1,97
603,29,7.3,7,51
604,29,0.5,7.1,1717
605,29,7,7.4,55
606,29,6.1,6.8,67
607,27,7,6.7,61
608,30,5.2,6.9,81
609,27,6.1,8,510
610,27,6.5,6.9,12150
611,25,7.9,7.2,50
612,25,7.5,6.9,34
613,26,7,7.4,72
614,29,7.3,7.3,99
615,27,7.5,6.9,125
616,27,6.8,6.9,116
617,27,5.8,7.3,107
618,28,7.1,7.2,85
619,26,6.8,7.1,58
620,29,5.7,7.3,13197
621,27,6.7,7.1,58
622,28,7,6.9,3453
623,29,6.5,7,14369
624,28,6.6,7.3,70
625,29,7,7.3,60
626,26,6.3,7.2,97
627,28,6,7,63
628,28,4.4,7.1,113
629,28,4.5,7.2,79
630,28,5.1,6.9,1789
631,27,7.5,7.2,36
632,28,6.8,7,59
633,28,6.8,6.9,114
634,28,5.9,6.8,1108
635,28,4.9,6.7,88
636,28,6.8,6.9,1686
637,28,7.1,6.9,45
638,26,6.9,6.6,56
639,28,6.5,6.3,49
640,29,4.9,6.6,169
641,28,4.2,6.5,19575
642,28,6.9,7.1,63
643,26,6.6,6.7,69
644,29,4.5,6.6,6381
645,29,6.2,7.2,9326
646,27,6.6,7.1,15158
647,29,6.3,7.3,74
648,27,6,7.6,429
649,27,6,7.8,308
650,20,5.8,7.4,505
651,24,6.1,7.5,465
652,28,6.4,7.1,183
653,27,7.1,7.4,135
654,32,6.7,7.2,103
655,30,6.8,7.1,106
656,22,7.8,7.9,213
657,22,7.7,8.1,312
658,24,6.9,7.6,99
659,27,7.3,8,230
660,26,6.8,8.1,264
661,25,7.2,8.1,272
662,28,8,8.3,312
663,29,8.2,8,19595
664,26,7,8,199
665,28,7.2,8.1,201
666,31,6.8,7.8,505
667,25,6.5,7.9,11170
668,25,6.9,7.4,4990
669,25,6.8,8.1,1516
670,26,6,7.3,44600
671,27,6.8,7.5,890
672,23,7.3,7.6,160
673,25,7,7.7,111
674,26,6.7,7.7,139
675,29,7.2,7.2,288
676,24,7,7.1,95
677,24,7,7.5,84
678,29,7.4,7,3101
679,29,7.2,7.3,510
680,24,7.1,7.4,88
681,29,7.2,6.9,338
682,26,6.7,7.6,162
683,27,6.7,7.6,182
684,32,0.2,7.2,2219
685, ,6.8,8,414
686,21,5.5,7.4,635
687,24,5.5,7.4,1051
688,21,5.3,7.3,636
689,24,5.1,7.4,993
690,21,5.3,7.5,632
691,18,4.9,7.4,973
692,22,4.3,7.5,1156
693,22,4.8,7.4,904
694,21,5.1,7.4,1110
695,24,5.3,7.4,1290
696,22,4.9,7.4,990
697,22,5.2,7.4,914
698, ,6.4,7.9,1808
699, ,6.6,7.8,1302
700, ,6.4,8,1286
701,33,4.8,7.5,280
702,20,7.7,7.4,344
703,20,7.3,7,310
704,20,7.1,7.7,303
705,20,3.3,7.5,1630
706,18,6.2,7.5,788
707,24,6,8.3,468
708,19,5.9,7.3,234
709,23,6.4,8,527
710,24,5.9,7.9,796
711,23,7.3,7.4,388
712,28,8.5,7.5,166
713,29,8.9,7,125
714,30,8,7.8,144
715,30,7.5,7.7,87
716,28,8.5,7.6,84
717,29,8.4,7.5,103
718,30,8.7,7.2,117
719,29,6.5,7.7,287
720,28,8.6,7.5,130
721,28,8.9,7.5,109
722,30,9.8,8.4,246
723,28,7.6,7.5,147
724,29,8.7,7.6,202
725,28,8.4,7.4,177
726,29,8.7,7.6,203
727,32,8.2,7.4,120
728,32,8,7.2,110
