id,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm)
1821,NAN,6.2,6.63,106.8
1822,NAN,6.6,6.77,250.7
1823,NAN,6.9,6.95,51.3
1824,NAN,6,6.75,641
1825,NAN,5.4,6.85,73.3
1826,NAN,6.7,6.93,65
1827,NAN,6.9,6.85,56.3
1828,NAN,6.5,6.98,59.3
1829,NAN,6.8,7.06,63.3
1830,NAN,5.8,6.73,73
1831,NAN,6.8,6.8,69.8
1832,NAN,7.1,6.83,80
1833,NAN,6.3,7.15,65.5
1834,NAN,6.3,6.95,77.5
1835,NAN,6.9,6.65,34
1836,NAN,6.4,6.75,49.3
1837,NAN,6.8,7.35,18568.3
1838,NAN,6.8,7.08,19740.8
1839,NAN,7.1,6.98,58.3
1840,NAN,7,7.23,67.5
1841,NAN,2.4,6.43,1041.3
1842,27,6.7,7.56,128.4
1843,NAN,6.8,7.68,123.2
1844,NAN,6.5,7.33,135.8
1845,NAN,5.1,7.45,5168.8
1846,NAN,6.5,7.34,128.5
1847,NAN,6.6,7.47,143.8
1848,NAN,6.6,7.75,136.8
1849,NAN,7.9,7.85,76.5
1850,NAN,7.4,7,82.3
1851,NAN,7,7.9,77.5
1852,NAN,6.9,7.73,85.3
1853,NAN,7.3,7.77,128.3
1854,NAN,8,7.8,132
1855,NAN,5.5,6.58,121.3
1856,NAN,7,7.43,136.7
1857,20,6.6,7.15,199
1858,18,6.4,3.05,605
1859,15,7.1,7.03,147.3
1860,19,8.1,7.03,148.3
1861,21,8.3,7.1,152
1862,25,7.4,6.6,NAN
1863,25,6.8,6.3,NAN
1864,25,6.1,7.15,NAN
1865,26,7.5,7.2,NAN
1866,28,7.5,7.8,286.5
1867,30,7.5,7.35,30683
1868,27,6,7.55,214.5
1869,32,6.3,7.43,201.3
1870,29,6.1,8.33,868.5
1871,NAN,8.1,7.86,342.3
1872,25,7.3,7.3,157
1873,NAN,4.9,7.33,494.7
1874,28,6.3,7.58,379.8
1875,28,6.1,7.58,490
1876,25,6.8,7.43,337.5
1877,26,6.7,7.38,333.5
1878,27,5.9,7.48,428
1879,25,6.5,7.4,361.8
1880,25,6.9,7.4,322
1881,26,5.1,7.48,496.5
1882,28,5,7.4,515.3
1883,28,5.1,7.43,503.3
1884,16,6.2,7.63,423.3
1885,NAN,4.4,8.23,390
1886,NAN,4.2,8.52,380
1887,23,4,7.65,729
1888,22,8,8.31,617
1889,NAN,4.2,8.55,1184.7
1890,NAN,5,7.92,160
1891,25,7.5,7.53,87.3
1892,27,6.6,7.27,162.3
1893,28,6.8,7.12,172.3
1894,NAN,6.7,7.6,277.8
1895,28,7.1,6.94,95.8
1896,27,7.4,7,88.5
1897,NAN,6.6,7.81,603.2
1898,28,6.6,7.49,571.5
1899,28,5.4,7.16,75.8
1900,30,5.4,7.37,104.8
1901,29,5.3,7.37,102.2
1902,30,7.8,239,6.2
1903,29,7.5,442,6.7
1904,29,7,430,6.4
1905,29,7.2,216,7.1
1906,29,7.9,352,4.5
1907,28,7,86,7.8
1908,29,6.8,65,7.5
1909,28,7.1,101,7.8
1910,27,7,78,7.6
1911,29,7.2,60,8
1912,28,6.6,76,7.1
1913,NAN,NAN,NAN,NAN
1914,28,8,368,7.4
1915,28,7.5,21331,3.6
1916,30,8.1,540,7.2
1917,29,8.1,443,4
1918,29,8.1,467,7.1
1919,32,7.8,1304,4.6
1920,30,8,1708,7.8
1921,28,7.5,1175,5.7
1922,28,7.5,67115,5
1923,27,4,9948,0.4
1924,28,7.7,1148,4.8
1925,28,8,590,4.8
1926,27,7.7,440,6.5
1927,28,6.4,1579,5.8
1928,27,6.8,62,7.5
1929,28,6.9,44,6.8
1930,28,6.9,62,6.8
1931,28,7,9416,6.7
1932,24,6.9,39,6.9
1933,28,7.1,53,6.9
1934,28,6.9,102,6.4
1935,27,6.8,437,5.7
1936,27,7.3,58,7
1937,26,6.9,1835,5.9
1938,27,6.8,60,5
1939,29,7.2,80,6.8
1940,27,7,42,7.3
1941,26,7,51,6.7
1942,26,7.1,58,6.8
1943,26,7,63,6.4
1944,27,6.8,72,6.6
1945,26,6.8,83,6.5
1946,24,7,69,6.4
1947,28,6.8,88,6.9
1948,27,6.9,31,7
1949,27,6.8,46,6.9
1950,26,7.2,20850,6.5
1951,25,7,24336,6.7
1952,25,7.1,77,7.2
1953,25,7.1,76,7
1954,29,6.5,3384,3.7
1955,26,7.7,280,6.6
1956,27,7.8,183,6.9
1957,24,7.7,107,6.8
1958,25,7.5,185,5.6
1959,27,7.3,157,6
1960,28,7.4,150,6.3
1961,26,7.4,139,5.8
1962,21,7.3,111,7.1
1963,21,7.4,74,7.5
1964,21,7.5,77,7.4
1965,21,7.3,97,7.3
1966,21,7.4,121,7.5
1967,21,7.4,142,6.7
1968,23,7.3,112,8.1
1969,21,7.5,124,3.7
1970,20,6.9,223,6.3
1971,17,3.1,493,5.8
1972,15,6.9,142,7.3
1973,20,6.9,145,7.8
1974,21,7,145,7.3
1975,30,8.1,569,8.2
1976,27,7.7,28598,7.7
1977,30,7.4,219,6.8
1978,29,7.2,198,7.2
1979,29,8,978,5.4
1980,21,7.6,203,6.3
1981,29,7.2,150,7.5
1982,31,7.3,178,6.7
1983,29,7.1,214,6.8
1984,NAN,7.5,293,7.2
1985,28,6.9,146,7.1
1986,28,7,136,7.5
1987,NAN,7.9,738,7.2
1988,29,7.5,585,6.3
1989,28,7.6,98,6.2
1990,28,7.7,91,6.5
1991,29,7.6,110,5.7
